id,flightNo,date,departure,destination,weekday,month
1,BERO43062,2017-11-23,Berlin,Rome,Thursday,November
2,BEPA43062,2017-11-23,Berlin,Paris,Thursday,November
3,BELO43062,2017-11-23,Berlin,London,Thursday,November
4,BEDU43062,2017-11-23,Berlin,Dublin,Thursday,November
5,ROBE43062,2017-11-23,Rome,Berlin,Thursday,November
6,ROPA43062,2017-11-23,Rome,Paris,Thursday,November
7,ROLO43062,2017-11-23,Rome,London,Thursday,November
8,RODU43062,2017-11-23,Rome,Dublin,Thursday,November
9,PALO43062,2017-11-23,Paris,London,Thursday,November
10,PADU43062,2017-11-23,Paris,Dublin,Thursday,November
11,PABE43062,2017-11-23,Paris,Berlin,Thursday,November
12,PARO43062,2017-11-23,Paris,Rome,Thursday,November
13,LODU43062,2017-11-23,London,Dublin,Thursday,November
14,LOBE43062,2017-11-23,London,Berlin,Thursday,November
15,LORO43062,2017-11-23,London,Rome,Thursday,November
16,LOPA43062,2017-11-23,London,Paris,Thursday,November
17,DUBE43062,2017-11-23,Dublin,Berlin,Thursday,November
18,DURO43062,2017-11-23,Dublin,Rome,Thursday,November
19,DUPA43062,2017-11-23,Dublin,Paris,Thursday,November
20,DULO43062,2017-11-23,Dublin,London,Thursday,November
21,BERO43063,2017-11-24,Berlin,Rome,Friday,November
22,BEPA43063,2017-11-24,Berlin,Paris,Friday,November
23,BELO43063,2017-11-24,Berlin,London,Friday,November
24,BEDU43063,2017-11-24,Berlin,Dublin,Friday,November
25,ROBE43063,2017-11-24,Rome,Berlin,Friday,November
26,ROPA43063,2017-11-24,Rome,Paris,Friday,November
27,ROLO43063,2017-11-24,Rome,London,Friday,November
28,RODU43063,2017-11-24,Rome,Dublin,Friday,November
29,PALO43063,2017-11-24,Paris,London,Friday,November
30,PADU43063,2017-11-24,Paris,Dublin,Friday,November
31,PABE43063,2017-11-24,Paris,Berlin,Friday,November
32,PARO43063,2017-11-24,Paris,Rome,Friday,November
33,LODU43063,2017-11-24,London,Dublin,Friday,November
34,LOBE43063,2017-11-24,London,Berlin,Friday,November
35,LORO43063,2017-11-24,London,Rome,Friday,November
36,LOPA43063,2017-11-24,London,Paris,Friday,November
37,DUBE43063,2017-11-24,Dublin,Berlin,Friday,November
38,DURO43063,2017-11-24,Dublin,Rome,Friday,November
39,DUPA43063,2017-11-24,Dublin,Paris,Friday,November
40,DULO43063,2017-11-24,Dublin,London,Friday,November
41,BERO43064,2017-11-25,Berlin,Rome,Saturday,November
42,BEPA43064,2017-11-25,Berlin,Paris,Saturday,November
43,BELO43064,2017-11-25,Berlin,London,Saturday,November
44,BEDU43064,2017-11-25,Berlin,Dublin,Saturday,November
45,ROBE43064,2017-11-25,Rome,Berlin,Saturday,November
46,ROPA43064,2017-11-25,Rome,Paris,Saturday,November
47,ROLO43064,2017-11-25,Rome,London,Saturday,November
48,RODU43064,2017-11-25,Rome,Dublin,Saturday,November
49,PALO43064,2017-11-25,Paris,London,Saturday,November
50,PADU43064,2017-11-25,Paris,Dublin,Saturday,November
51,PABE43064,2017-11-25,Paris,Berlin,Saturday,November
52,PARO43064,2017-11-25,Paris,Rome,Saturday,November
53,LODU43064,2017-11-25,London,Dublin,Saturday,November
54,LOBE43064,2017-11-25,London,Berlin,Saturday,November
55,LORO43064,2017-11-25,London,Rome,Saturday,November
56,LOPA43064,2017-11-25,London,Paris,Saturday,November
57,DUBE43064,2017-11-25,Dublin,Berlin,Saturday,November
58,DURO43064,2017-11-25,Dublin,Rome,Saturday,November
59,DUPA43064,2017-11-25,Dublin,Paris,Saturday,November
60,DULO43064,2017-11-25,Dublin,London,Saturday,November
61,BERO43065,2017-11-26,Berlin,Rome,Sunday,November
62,BEPA43065,2017-11-26,Berlin,Paris,Sunday,November
63,BELO43065,2017-11-26,Berlin,London,Sunday,November
64,BEDU43065,2017-11-26,Berlin,Dublin,Sunday,November
65,ROBE43065,2017-11-26,Rome,Berlin,Sunday,November
66,ROPA43065,2017-11-26,Rome,Paris,Sunday,November
67,ROLO43065,2017-11-26,Rome,London,Sunday,November
68,RODU43065,2017-11-26,Rome,Dublin,Sunday,November
69,PALO43065,2017-11-26,Paris,London,Sunday,November
70,PADU43065,2017-11-26,Paris,Dublin,Sunday,November
71,PABE43065,2017-11-26,Paris,Berlin,Sunday,November
72,PARO43065,2017-11-26,Paris,Rome,Sunday,November
73,LODU43065,2017-11-26,London,Dublin,Sunday,November
74,LOBE43065,2017-11-26,London,Berlin,Sunday,November
75,LORO43065,2017-11-26,London,Rome,Sunday,November
76,LOPA43065,2017-11-26,London,Paris,Sunday,November
77,DUBE43065,2017-11-26,Dublin,Berlin,Sunday,November
78,DURO43065,2017-11-26,Dublin,Rome,Sunday,November
79,DUPA43065,2017-11-26,Dublin,Paris,Sunday,November
80,DULO43065,2017-11-26,Dublin,London,Sunday,November
81,BERO43066,2017-11-27,Berlin,Rome,Monday,November
82,BEPA43066,2017-11-27,Berlin,Paris,Monday,November
83,BELO43066,2017-11-27,Berlin,London,Monday,November
84,BEDU43066,2017-11-27,Berlin,Dublin,Monday,November
85,ROBE43066,2017-11-27,Rome,Berlin,Monday,November
86,ROPA43066,2017-11-27,Rome,Paris,Monday,November
87,ROLO43066,2017-11-27,Rome,London,Monday,November
88,RODU43066,2017-11-27,Rome,Dublin,Monday,November
89,PALO43066,2017-11-27,Paris,London,Monday,November
90,PADU43066,2017-11-27,Paris,Dublin,Monday,November
91,PABE43066,2017-11-27,Paris,Berlin,Monday,November
92,PARO43066,2017-11-27,Paris,Rome,Monday,November
93,LODU43066,2017-11-27,London,Dublin,Monday,November
94,LOBE43066,2017-11-27,London,Berlin,Monday,November
95,LORO43066,2017-11-27,London,Rome,Monday,November
96,LOPA43066,2017-11-27,London,Paris,Monday,November
97,DUBE43066,2017-11-27,Dublin,Berlin,Monday,November
98,DURO43066,2017-11-27,Dublin,Rome,Monday,November
99,DUPA43066,2017-11-27,Dublin,Paris,Monday,November
100,DULO43066,2017-11-27,Dublin,London,Monday,November
101,BERO43067,2017-11-28,Berlin,Rome,Tuesday,November
102,BEPA43067,2017-11-28,Berlin,Paris,Tuesday,November
103,BELO43067,2017-11-28,Berlin,London,Tuesday,November
104,BEDU43067,2017-11-28,Berlin,Dublin,Tuesday,November
105,ROBE43067,2017-11-28,Rome,Berlin,Tuesday,November
106,ROPA43067,2017-11-28,Rome,Paris,Tuesday,November
107,ROLO43067,2017-11-28,Rome,London,Tuesday,November
108,RODU43067,2017-11-28,Rome,Dublin,Tuesday,November
109,PALO43067,2017-11-28,Paris,London,Tuesday,November
110,PADU43067,2017-11-28,Paris,Dublin,Tuesday,November
111,PABE43067,2017-11-28,Paris,Berlin,Tuesday,November
112,PARO43067,2017-11-28,Paris,Rome,Tuesday,November
113,LODU43067,2017-11-28,London,Dublin,Tuesday,November
114,LOBE43067,2017-11-28,London,Berlin,Tuesday,November
115,LORO43067,2017-11-28,London,Rome,Tuesday,November
116,LOPA43067,2017-11-28,London,Paris,Tuesday,November
117,DUBE43067,2017-11-28,Dublin,Berlin,Tuesday,November
118,DURO43067,2017-11-28,Dublin,Rome,Tuesday,November
119,DUPA43067,2017-11-28,Dublin,Paris,Tuesday,November
120,DULO43067,2017-11-28,Dublin,London,Tuesday,November
121,BERO43068,2017-11-29,Berlin,Rome,Wednesday,November
122,BEPA43068,2017-11-29,Berlin,Paris,Wednesday,November
123,BELO43068,2017-11-29,Berlin,London,Wednesday,November
124,BEDU43068,2017-11-29,Berlin,Dublin,Wednesday,November
125,ROBE43068,2017-11-29,Rome,Berlin,Wednesday,November
126,ROPA43068,2017-11-29,Rome,Paris,Wednesday,November
127,ROLO43068,2017-11-29,Rome,London,Wednesday,November
128,RODU43068,2017-11-29,Rome,Dublin,Wednesday,November
129,PALO43068,2017-11-29,Paris,London,Wednesday,November
130,PADU43068,2017-11-29,Paris,Dublin,Wednesday,November
